kfzzuordnung
kfz_kennzeichen
hersteller
hersteller_name
hersteller_code
kunde
nachname
fahrzeug
messung
messung_id
geschlecht
ort
ort_id
fin
geburtsdatum
anrede
ort_name
baujahr
land
quelle
vorname
modell
payload
kunde_account
land_id
land_name
